iso3,feature,available_from,available_to,missing_years,status
DJI,gdp_per_capita_ppp,2013,2024,"2010;2011;2012",partial
CUB,gdp_per_capita_ppp,,,,"unavailable"
PRK,gdp_per_capita_ppp,,,,"unavailable"
LIE,gdp_per_capita_ppp,,,,"unavailable"
MCO,gdp_per_capita_ppp,,,,"unavailable"
ERI,gdp_per_capita_ppp,,,,"unavailable"
VEN,gdp_per_capita_ppp,,,,"unavailable"
YEM,gdp_per_capita_ppp,,,,"unavailable"
DJI,gdp_growth_annual_pct,2014,2024,"2010;2011;2012;2013",partial
ERI,gdp_growth_annual_pct,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
LIE,gdp_growth_annual_pct,,,,"unavailable"
PRK,gdp_growth_annual_pct,,,,"unavailable"
SMR,gdp_growth_annual_pct,2010,2023,"2024",partial
SSD,gdp_growth_annual_pct,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SYR,gdp_growth_annual_pct,2010,2022,"2023;2024",partial
YEM,gdp_growth_annual_pct,2010,2018,"2019;2020;2021;2022;2023;2024",partial
AFG,general_government_final_consumption_expenditure_pct_gdp,2020,2024,"2010;2011;2012;2013;2014;2015;2016;2017;2018;2019",partial
AND,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
ARE,general_government_final_consumption_expenditure_pct_gdp,2010,2023,"2024",partial
ATG,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
BRB,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
CIV,general_government_final_consumption_expenditure_pct_gdp,2015,2024,"2010;2011;2012;2013;2014",partial
DJI,general_government_final_consumption_expenditure_pct_gdp,2013,2024,"2010;2011;2012",partial
ERI,general_government_final_consumption_expenditure_pct_gdp,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
ETH,general_government_final_consumption_expenditure_pct_gdp,2011,2024,"2010",partial
FSM,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
GRD,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
GUY,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
JAM,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
JOR,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
KNA,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
LAO,general_government_final_consumption_expenditure_pct_gdp,2010,2016,"2017;2018;2019;2020;2021;2022;2023;2024",partial
LBR,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
LCA,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
LIE,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
LKA,general_government_final_consumption_expenditure_pct_gdp,2015,2024,"2010;2011;2012;2013;2014",partial
MCO,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
MDV,general_government_final_consumption_expenditure_pct_gdp,2014,2024,"2010;2011;2012;2013",partial
MMR,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
MWI,general_government_final_consumption_expenditure_pct_gdp,2017,2024,"2010;2011;2012;2013;2014;2015;2016",partial
NGA,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
NRU,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
PNG,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
PRK,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
QAT,general_government_final_consumption_expenditure_pct_gdp,2010,2022,"2023;2024",partial
SMR,general_government_final_consumption_expenditure_pct_gdp,2015,2023,"2010;2011;2012;2013;2014;2024",partial
SOM,general_government_final_consumption_expenditure_pct_gdp,2012,2024,"2010;2011",partial
SSD,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
SUR,general_government_final_consumption_expenditure_pct_gdp,2010,2010,"2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SWZ,general_government_final_consumption_expenditure_pct_gdp,2013,2024,"2010;2011;2012",partial
SYR,general_government_final_consumption_expenditure_pct_gdp,2010,2022,"2023;2024",partial
TGO,general_government_final_consumption_expenditure_pct_gdp,2010,2023,"2024",partial
TTO,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
TUV,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
VCT,general_government_final_consumption_expenditure_pct_gdp,,,,unavailable
VEN,general_government_final_consumption_expenditure_pct_gdp,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
YEM,general_government_final_consumption_expenditure_pct_gdp,2010,2018,"2019;2020;2021;2022;2023;2024",partial
DJI,inflation_gdp_deflator_annual_pct,2014,2024,"2010;2011;2012;2013",partial
ERI,inflation_gdp_deflator_annual_pct,2010,2011,"2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
LIE,inflation_gdp_deflator_annual_pct,,,,unavailable
PRK,inflation_gdp_deflator_annual_pct,,,,unavailable
SMR,inflation_gdp_deflator_annual_pct,2010,2023,"2024",partial
SSD,inflation_gdp_deflator_annual_pct,2010,2015,"2016;2017;2018;2019;2020;2021;2022;2023;2024",partial
SYR,inflation_gdp_deflator_annual_pct,2010,2022,"2023;2024",partial
YEM,inflation_gdp_deflator_annual_pct,2010,2018,"2019;2020;2021;2022;2023;2024",partial
AND,unemployment_rate_pct,,,,unavailable
ATG,unemployment_rate_pct,,,,unavailable
FSM,unemployment_rate_pct,,,,unavailable
GRD,unemployment_rate_pct,,,,unavailable
KIR,unemployment_rate_pct,,,,unavailable
KNA,unemployment_rate_pct,,,,unavailable
LBN,unemployment_rate_pct,2010,2023,"2024",partial
LIE,unemployment_rate_pct,,,,unavailable
MCO,unemployment_rate_pct,,,,unavailable
MHL,unemployment_rate_pct,,,,unavailable
NRU,unemployment_rate_pct,,,,unavailable
PLW,unemployment_rate_pct,,,,unavailable
SDN,unemployment_rate_pct,2010,2022,"2023;2024",partial
SMR,unemployment_rate_pct,,,,unavailable
SSD,unemployment_rate_pct,2010,2023,"2024",partial
SYC,unemployment_rate_pct,,,,unavailable
TUV,unemployment_rate_pct,,,,unavailable
UKR,unemployment_rate_pct,2010,2021,"2022;2023;2024",partial
SYC,population_growth_annual_pct,2010,2024,"2022",partial
SYC,urban_population_growth_annual_pct,2010,2024,"2022",partial
