"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Unnamed: 70
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.362098138748,175.344129554656,168.781911013858,163.267359946327,164.559014267185,145.072879516204,140.391108618306,133.230771421249,132.794291274023,132.430929795173,145.050280144237,141.042626734626,139.972309491093,139.110149824701,137.556575933708,135.464654677581,154.437786862887,156.645197205944,155.731904522973,156.491052864098,140.493001133496,136.887263320827,138.716620095236,138.824972245657,137.923249273411,123.24050373078,139.510902584073,160.558140997897,153.719158343959,164.138645148918,,
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2870938867615,39.7814863484761,40.4607893783742,42.9009505951593,45.5098607875509,47.491919174988,47.2546145641638,45.1155588164682,46.7085934372919,44.9526251592341,46.6041741770948,48.0045014502732,57.332808783664,54.9022523606455,55.9385425989356,58.6978636666129,59.2257287713443,64.9314821072489,72.1182344224891,60.8349706005116,61.2442067271921,63.0810712698512,61.0394667872946,61.4883241423663,59.9253647268059,54.9454145770714,52.8801706650962,51.7606954571189,54.8680901684044,53.2143102862768,49.343584646059,54.5513323505808,57.1173763714306,56.2837209179998,54.2032707213253,51.9948174671171,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7098945514103,51.4117163747271,72.8854696086536,66.9995780621951,83.763025087768,,
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,33.0232600987629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5708209771053,90.5708209771053,90.5708209771053,90.5708209771053,90.5708209771053,90.5708209771053,90.5708209771053,90.5708209771053,90.680716182229,90.3860384706403,95.3414592878024,84.6246041187373,97.2256307002466,108.680408742706,102.263183257504,90.9940631357987,89.0369443426985,81.939478548327,77.3498013719917,69.5801424480502,54.9793808780995,46.3256130571521,44.9963253203189,58.2698953890633,60.3713068739603,54.6604030683749,62.5287705320674,56.5380722280743,53.6070126498686,49.8489506740963,34.6466403704517,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925041872,46.1004662837047,44.8105616083383,40.4106676033234,38.1156830212927,35.9348239721958,31.637304878056,32.159563916938,36.89787073527,40.066086463479,39.4369634031142,36.0705200632829,108.785472241159,80.518332770413,53.1025847356112,40.1386989518314,44.4117820054663,44.7293780649181,47.1306266993222,49.8954184095195,61.6092610436407,64.2474462587009,65.9914650336802,64.8232150960777,65.0379383187697,69.1162926602322,72.2019089483674,79.9119008919954,75.2485472798728,73.3213575646169,75.5325329687378,80.6989985298954,76.9683583166821,75.7506185619748,75.0212023084129,71.2794476606014,74.0144504546815,76.7873817898989,75.6940783717425,75.382128932689,59.5206994391875,75.5904040905009,84.6980435944865,82.3524933990723,79.4546360752224,79.5328146239161,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.803601264584,60.32864064962,63.1549342179207,83.3299082158573,74.6763704953696,83.3351028786331,77.1995049757399,81.6393684906978,79.7766595950124,82.1065520191407,87.5208483015089,88.8427888370666,84.8809993096964,76.8118133388874,73.0019755976721,65.9304244506114,58.2961212727091,60.3403006274591,61.4789669414939,66.3234967727665,66.1997652136279,69.1104990880916,65.1443284806273,60.864123261815,57.6328654655479,61.2393920070693,60.7101282527275,68.7857995983893,67.2894010452393,67.313218547876,72.0132015273041,73.2266489931103,73.5190274953933,80.1785648073305,84.5068218712743,88.6457165783753,88.9408725778368,92.9395859597508,96.150352538706,88.4627999947591,85.0034075522851,87.8596765429878,89.3842168625069,88.444009575381,86.2419614087605,81.4958468431887,75.8691580956355,79.3120733083958,79.7757157396393,78.9788655191864,74.6177547295619,79.4427227325945,86.5555785491757,87.0390451286186,65.3540912329816,,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8645875613427,89.8645875613427,89.8645875613427,89.8645875613427,89.8645875613427,89.8645875613427,89.8645875613427,93.0717523974279,102.300072318295,116.622707480689,119.55287164912,119.47067436604,136.798144727699,148.513544024487,153.461944358762,135.485740301669,144.176829734392,156.637656972961,157.398122639247,159.515630313713,164.286142899252,165.394966240337,165.476523652994,154.747042166299,163.822149025614,181.291940227998,182.909401076776,185.741660631894,199.044950127107,199.044950127107,,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.2080960873797,11.9898923109727,14.0755256495637,15.7809062353749,11.1274296795488,10.3764574099485,11.6426054171411,12.4926603729179,11.8881648852942,12.7974266330598,10.3374440809233,12.6151889155439,14.0356431972715,13.3221685115576,13.1915798576321,11.8027242947756,15.0968846242519,16.942286567935,14.3237963724369,12.8406846411368,11.5456724606844,14.2929774788834,15.6114860999886,14.9876701068591,12.3463814292217,18.009425070688,14.4860327921395,15.448969882952,15.743458608705,19.6377977018838,14.9908589999441,13.7530541588891,14.730980586353,16.223151447784,18.1343458669981,19.7714230903755,21.5064684057215,23.3361788437439,23.3500279730689,21.3827449624898,22.6224447777343,21.8522554515453,41.7527243585642,40.6447480311085,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926,32.6306150458499,30.203698807416,33.078689567466,31.5801792606256,26.6769512482215,27.929760849367,30.364633685192,
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3357185450209,100.865855188857,101.076759405526,107.973146280234,112.429364602262,86.1148570667578,79.2295601199241,78.5477450545048,71.8424518815414,70.5604791440404,72.2333302273367,69.8642663925336,73.9845018432309,80.0513676022426,73.0706339919371,70.1397385835334,61.0301379818566,56.9750470853147,54.5423279613666,57.2742357441995,64.642975973633,69.4355736620453,75.9616759606704,77.5550481598824,75.778866962639,71.6820743427575,76.0779674593548,87.202376539837,92.473107021212,97.847004865327,70.1213571368789,79.2489057647112,103.878629213508,123.418750077627,150.064726588742,101.705936395702,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9375,210.9375,210.9375,210.9375,210.9375,210.9375,210.9375,210.9375,207.442748091603,202.357563850688,223.2,229.817444219067,218.146718146718,249.821428571429,161.333333333333,157.940663176265,157.543859649123,176.40625,173.824451410658,174.805598755832,162.407132243685,159.165424739195,161.437908496732,171.830985915493,156.568778979907,154.368932038835,136.8,124.684270952928,124.684270952928,124.684270952928,,
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,141.546161057996,130.071549851721,132.025917905085,127.664323582144,130.655152659419,137.537783631991,94.289529886499,101.074960584779,118.302584056113,118.302584056113,118.302584056113,,
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,26.9667648296172,27.3393557184251,26.4874270318815,26.7521545010902,28.6110327976694,28.3979851035433,27.9741185142717,26.6926270159068,26.6981164325027,25.2088287299555,26.1147186147186,25.5169172932331,24.72149373501,25.0962078088672,26.2867069236496,28.9295924659454,26.8249727437191,28.591002511989,28.137594099308,29.581325731776,32.2525128889878,31.5576644536345,30.2807824432899,29.1331027793007,28.5069248063719,32.4492020340392,32.9677103193746,32.4705718221928,32.5236773601974,32.0235276889659,32.1100283534983,32.1456909693335,32.9981716307874,35.3502769485307,36.4066117966299,37.646874037201,38.1740208800895,37.9217014956962,39.9240664596368,38.9602467102359,40.8631257691954,44.1337313971929,41.3813128146921,40.1348011794482,36.9505159618289,39.0978822564811,41.4878923489153,41.9297451276561,42.7522207880308,45.5936120867789,40.3905070860606,41.7219860149689,43.0198495527558,41.100511881056,42.2993095385282,41.4947506939901,40.813402217321,42.0354135251854,43.5732253645218,46.0016827052171,44.499564103879,40.2022359390595,45.6946418805752,49.044339318428,47.1453811065195,45.9014493880126,
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,55.0761193245758,54.5943095175992,54.5095261285031,54.6709598898345,59.8019696552993,56.8216966374891,60.1518898060928,60.5146252146455,59.902619239337,63.5662000173728,67.0877814373936,68.665503986782,64.3692403970828,62.717843835786,66.8367975275057,70.3587487563186,64.2663207365524,63.1008818390388,66.8242938143518,70.8157362192816,71.769481946408,70.3238566862819,67.8961088248008,63.5138270434354,66.246573910845,68.5250057529972,70.4693162982812,75.2444760305554,77.3495216604118,78.5629329772961,85.8426077336549,87.9962567186047,87.5844937054619,86.8822263228608,91.4742201880009,94.6747547827805,98.7857253161241,101.36495843546,102.7437043613,87.6004931021953,99.6448825546716,105.775098372378,105.840791389706,104.985374015367,104.49673998926,103.11758174626,101.573494597172,105.556066755438,108.377969971828,108.207284904426,99.9482141095975,111.032932124165,123.579578652902,115.152914822732,108.825777834405,107.01983926573,
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0832196452933,86.8637724550898,140.799983402834,133.490445859873,55.3493194555644,85.8937107507733,80.8497401741931,82.0789665326283,77.2278091030634,69.8259648751026,78.5485682796041,78.8151854917601,92.8181443298969,107.551948506262,121.507115894117,115.841884607706,105.262399846369,96.6418081486575,89.2428968637573,74.7440416836369,74.9859884610856,80.5080450059522,78.263069540422,74.6758447629851,69.4832251953347,72.6015079073189,90.0773187345677,90.4023156823216,91.6725765369825,85.8181454084561,72.0178676487811,76.286865687015,86.9822732541779,83.5358861156321,82.5675246316515,79.8295815452306,
Burundi,BDI,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,87.7273019754199,85.5840807687108,85.2144387292793,94.1440940214668,105.271077601296,91.5237486786852,96.8157584257173,95.6775227443742,92.3126039376739,101.572970541061,103.055447784319,110.221352145195,117.925349546572,120.395562511556,128.230735025444,123.876986090012,112.327024533852,109.919099925859,116.422946593266,124.936932679633,121.467851074465,118.59013771799,115.069287501636,109.012736996759,113.232300033612,116.378567821327,119.212775757383,125.68894005618,124.709122626318,125.169990540949,142.230135067034,139.576839834619,136.085149488081,132.715552833888,136.918405348432,144.529050669983,149.567509299511,152.468446875303,161.088447790447,135.13840572229,150.162563621427,160.765516888126,160.383301425059,157.573622782434,158.571610953523,155.068682045926,159.057696611945,166.904078237791,168.277692877218,165.46547893199,156.950121282783,177.381912201075,191.053418131592,165.987440736442,159.023481148927,152.917788719365,
Benin,BEN,Trade (% of GDP),NE.TRD.GNFS.ZS,18.2341998166072,14.1181216852278,13.4771276576628,15.447259020027,17.3805034251725,22.1732736350777,23.0426078397633,27.4380883208416,28.4112293667841,33.2017249500644,39.6379034467417,45.6184127164884,41.1845516067007,41.6121426133332,43.8114045020463,47.9412279615522,44.0197577086964,50.9596855186593,51.0704526504407,54.5381681535616,53.1386195994861,59.8893720979652,57.8573353739462,45.3420118908271,50.5113034919755,60.3012179781571,49.2914176982042,46.2181352147978,45.8868280290306,38.3003673589405,45.7201821451396,51.3447168355486,56.7407458048553,55.3817991336605,64.4004792535565,63.800140010475,56.5177914456367,58.7116296113966,59.5936252981433,54.3917891538957,47.3481515012844,48.2571706392197,43.7684225364311,41.6162305574334,39.9029743365096,39.0959311879142,39.7746987128551,49.1137841529705,47.7753592695169,44.7026290629806,51.4308599492924,47.2170288118403,50.7367367791134,59.2001918331875,65.2682749404551,56.7563131849476,58.9869283378276,61.4765969588474,61.7951944903448,63.68133231423,44.8332333768726,48.0548608324409,44.3815928877424,44.6631308180211,40.6398022401523,37.1169356248994,
Burkina Faso,BFA,Trade (% of GDP),NE.TRD.GNFS.ZS,20.7013700595553,21.2188624397492,21.2379483918704,21.2485012803128,14.3172756393415,16.0292171246163,16.7002191862921,18.8558132843739,21.4921288241186,22.3496083648567,21.5970104218475,25.442556614231,27.688726861213,29.231336311371,32.7936788935997,37.4993707069501,35.2134956783333,38.4035337580082,35.2192484844596,37.5285780653351,40.213028682332,40.7115242526657,39.8197514428109,37.4582972460124,39.7187056640872,40.9475469828696,37.9617294229875,39.4399463300075,38.1296822765951,32.3947599439306,35.4226504401749,33.7962364263647,28.3740163771975,29.6250839534616,39.2292222386411,40.7474714183407,38.1802977691941,37.4164187803511,40.9397835752562,35.2548157814824,35.1229419704263,31.6581708148511,31.3125228527966,30.3682364077323,35.4809436017462,34.1721697681049,35.1065423554549,33.7797172895073,35.3853169801502,40.2959836735924,49.0732385398039,57.4972531038508,61.2386079818398,64.0358513024234,58.8235624937426,59.0891813101662,57.8931727994406,59.2687802020168,60.5956256236488,60.4086928753226,60.7397786403239,62.4203586607795,67.5202901331655,63.1530435873964,60.492898852298,65.0029506969427,
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,19.3039436708071,22.4823523745223,21.554848275691,21.6397630631354,24.1502678104311,23.0293137134448,22.9361029749964,21.9018601093214,19.9371403769383,19.8113211700256,20.8205969538367,17.0190718372794,19.4072895559385,18.3946565109774,14.0496210654104,10.9956261323865,22.3822749296616,19.4221981983695,21.0385149611892,21.9070635430834,23.377231112235,19.2471590909091,20.6069241937352,20.3168806212371,16.8117271749034,18.2221846249994,17.0187425082782,16.6877976312963,17.6780643099612,18.3251740190693,18.9665020125385,18.8898268850747,19.9340055024511,23.1215830698982,22.8658645545703,28.2094960764218,26.0760877233809,26.3255133900833,27.8800634028394,28.3879405571158,29.3217143619038,32.0980170730117,28.9673807211649,27.657884900158,26.8582341492431,34.396934864465,38.1119244325921,39.9423826531735,42.6209140325589,40.092796223023,37.8028426708321,47.4208498356898,48.1109227490467,46.2964027228174,44.5140801968096,42.0859963070382,31.3341501346142,29.9997306724343,32.5146317240884,31.5780544912404,26.271447376215,27.7240047036631,33.7799672705735,30.9829714104596,26.7780758040478,27.9505840425563,
Bulgaria,BGR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,66.3961777642955,70.165940092814,67.4981460257534,74.0930263071574,78.3782114624506,86.000600060006,83.5056818181818,83.4127536542271,91.4613618974751,94.5787002718063,69.8453052958159,82.6820795918073,100.050651652997,84.0416969316241,90.7201149147257,55.2630086118475,85.8207260168869,86.4637363337509,77.0452015666429,90.0749813655593,77.7456854212701,79.0813824014922,75.269621415721,79.0138894271643,93.0639046910296,99.714224874021,111.047459756649,123.532578691039,124.68876138203,92.6926410550003,103.380518426721,117.418101416931,123.97132336227,129.688685003845,130.248372124871,126.736652288689,122.805519071127,129.634433774038,129.166502231244,125.260415075086,110.423903082333,121.214091012604,138.844872770267,119.899505851916,110.226317731322,102.514263507931,
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,210.498536317485,220.86736918527,198.546425415554,166.774850725237,167.38843952925,168.514120007661,161.40219829886,166.893883947206,151.999720355893,163.820943501791,184.828804680899,158.867796593681,159.291898335568,144.763045585989,136.473470897416,134.086732319169,144.333450490306,130.672449001883,113.001418957352,124.735737154328,135.809135327865,127.026266277537,131.133634216392,128.091582155216,140.737310039923,148.313525108923,147.104181068989,137.785050572304,145.882511145821,117.963725409489,115.561486449616,167.529641035854,178.824020821684,184.58950884485,168.57585814186,147.916060172904,132.822997902774,136.429239810394,144.075372574535,135.417543398211,135.460985012931,153.799316485108,167.141241152535,157.447854682297,157.480869430187,,
