"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1759545308158","13.0540690696972","13.2416208673862","14.8922098082515","15.5965082540353","16.2974611255338","17.6558632372378","17.4795502921148","16.1823488793703","13.0430359920285","11.5460620013165","12.3664483303712","10.0760634560669","10.7496646425755","10.799498200524","12.4688254381031","12.7138128237982","12.3948278061063","11.358156434717","11.6258665501014","12.5254865142398","10.9774949258071","9.72879750990604","10.8379420338553","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","29.6514761893269","31.3791063577899","30.2754297861933","27.3012482434666","29.1143944880713","30.6660708961488","30.7584870343887","30.5392532615003","30.4757118575326","29.2048195408008","31.7770931454974","30.4853109531732","30.6062481495628","30.0801990939196","29.2998325164237","28.4883813335011","28.127938344129","27.5134612888596","27.9239001859517","28.0611473568092","27.3415859858359","26.6004301988749","26.8969992755542","27.8225171138549","27.9120176460632","29.2485692411679","30.4902793473482","26.7237690529178","27.2914104919559","28.6288231942314","28.5885087132674","27.8660430106181","27.083148928812","24.8611280274922","24.7142687201753","25.404757436104","26.161138697763","26.0404698152707","25.0648521454273","26.4567236508844","27.1304923215828","26.4679753709217","25.8749995822047","26.2222082828057",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.9525996015547","14.2736570191788","16.0503677223963","13.4498227120978","14.5203506635167","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","37.9990441998162","33.7347694414845","31.3440007055065","27.4746912736929","28.7258949391487","30.7032813897783","30.034953755155","28.8684573991491","30.5024101978267","31.9939509930402","32.4071037513476","31.8652421795762","30.5371200259841","31.2665773990346","35.5671285287551","36.2237022365934","34.8131982899547","29.1936164839812","27.7248532569688","31.6429492466682","27.6777124143715","25.027285981166","27.0744572899585","28.8135111337622","29.4197914914995","28.1434367034658","27.0768748583084","28.1358811659721","24.6156342327977","27.3403594100416","30.3228391803984","29.7369723232957","28.758696634869","27.3416284000539","23.1519921410034","21.5173460003556","24.4159109188189","26.6870961069863","23.3394539279891","21.2274912437449","21.8973415363196","23.0647149302543","23.2446441882711","24.0327471414088","23.2474029992815",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.0338602281507","49.0778338149701","50.4346227422796","56.2244955384729","54.3786607942638","58.1146552872547","56.3778763244437","41.1797313432495","48.7187943753018","52.3009161856827","53.4845191974217","50.5176777357803","44.1321246613696","36.8949662869579","37.0197637586645","36.6969299145389","40.9023531140042","42.1702338802178","37.1380634426867","38.9945687670048","35.9473211759091","35.7012470046254","33.8842284287983","27.0679258771492",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7520120174809","19.2241466662591","20.209552986729","16.9172110795014","18.5232144781417","21.712185305831","24.386649861103","26.2383265737354","27.084687755804","27.7299752177294","28.1372131604488","28.4284255205783","28.5772545670045","28.5616497223775","27.5678722962167","27.4749142839601","26.9409865024688","25.4077242038709","25.506803612245","23.8286690584956","24.4814091473313","23.8670178864359","22.9533327106507","23.7535886253159","22.9655210859374","23.4687164183412","22.4341412350759","23.0250522159549","23.160711973189","22.4011031082403","21.8303449313888",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3626363853047","11.1453411041301","12.4282261796617","12.7985462097612","12.7863568008877",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","51.4462384802273","52.9279324544934","51.333476251114","47.8910201819496","53.2751231459007","58.4027527677524","56.6797177597118","48.5817561511364","41.5820752863159","39.7687613366497","36.8391323873522","31.9096965973322","32.9815382858268","33.4650578893401","35.344530431803","52.665015272338","38.4281715979493","40.0644152683261","37.3409962082809","37.5841939359046","39.7709000807671","40.9775102660573","41.9999918482089","37.5035303391854","41.2696038735292","47.5923540178012","44.0264774223095","44.2861827547916","45.1163879253613","47.3563394140961","51.2683096166268","52.5079811517451","51.7587475020203","55.0399372189022","46.7264544830521","49.4713627831392","53.4226998232477","54.223161187866","52.0159586969639","49.4612326701075","40.4328484740419","38.1730908465782","40.7976358186021","44.5410503481328","42.4549800285713","36.2470425837081","42.9076742028289","48.8829967070435","44.7126704900598","42.9517471480629","40.8092534114141",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.9949152432803","71.8138311898658","67.9818387847382","68.058200559038","71.3562769103495","72.6630786259649","68.36355759142","63.1527606445008","61.403677069666","62.8100765966186","61.2524008968804","52.1544525418305","54.6813149970253","53.0140023303516","55.5048952239836","59.2866330767351","57.031294288386","55.2978453064331","51.4801030818299","49.1445760525638","48.5102508694675","49.2730032508552","48.8853411526706","43.8024588989126","45.7673882055303","52.4889719964319","49.6762409744836","47.5458504159719","49.1210149786566","51.6782861158252","55.6436974467383","57.9032746034639","54.8402285842186","58.0180485951357","52.0449316277745","50.2592508031343","55.7509521893027","55.3564356841858","52.9894306306823","50.7402385283328","42.1587350173898","39.8749869565396","41.4122326585365","45.7440553690851","43.4669519380736","40.3215993754054","45.3811258793331","49.3332871882473","45.4007042021104","44.3292712081948","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.4088763711802","23.4994644263761","24.1118636272911","25.1722105252735","23.9965975604249","22.8739891871732",
