country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AGO,Angola,1,0.8961 (MRT),0.8537 (MRT),0.8426 (COG),0.8085 (MRT),0.8061 (ZMB),0.8019 (MRT),0.8774 (MRT),0.8408 (COD),0.8905 (COG),0.8632 (MRT),0.8941 (MRT),0.9138 (COG),0.8243 (COG),0.8635 (MRT),0.8742 (MRT)
AGO,Angola,2,0.8436 (COG),0.8244 (COG),0.7818 (MRT),0.7709 (GIN),0.7985 (COD),0.7775 (COD),0.8128 (ZMB),0.8130 (COG),0.7815 (COD),0.8056 (ZMB),0.8490 (COD),0.8987 (MRT),0.8195 (COD),0.8119 (CMR),0.8382 (COD)
AGO,Angola,3,0.7877 (IRQ),0.7934 (IRQ),0.7810 (ZMB),0.7631 (COG),0.7870 (GIN),0.7691 (COG),0.7862 (COD),0.7916 (ZMB),0.7675 (GAB),0.7963 (COD),0.8064 (ZMB),0.8584 (COD),0.8068 (MOZ),0.8066 (MOZ),0.8159 (MOZ)
ALB,Albania,1,0.8107 (ARM),0.7913 (ARM),0.8013 (ARM),0.9119 (ARM),0.9460 (ARM),0.9426 (ARM),0.8568 (ARM),0.9011 (ARM),0.8998 (ARM),0.8113 (ARM),0.8024 (ARM),0.7841 (ARM),0.7465 (BIH),0.7944 (ARM),0.7591 (BIH)
ALB,Albania,2,0.6690 (MKD),0.6452 (MKD),0.7556 (GEO),0.7406 (MKD),0.8074 (MKD),0.7922 (MKD),0.7917 (MKD),0.7715 (MKD),0.7862 (BIH),0.8098 (MKD),0.7759 (BIH),0.7344 (BIH),0.7418 (SRB),0.7187 (UKR),0.7581 (MKD)
ALB,Albania,3,0.5917 (BIH),0.5494 (BIH),0.7175 (MKD),0.6977 (BIH),0.7085 (BIH),0.7343 (BIH),0.7717 (BIH),0.7689 (BIH),0.7747 (MKD),0.7928 (BIH),0.7758 (MKD),0.7016 (MKD),0.7414 (ARM),0.7093 (MKD),0.6787 (SRB)
ARE,United Arab Emirates,1,0.8484 (BHR),0.8721 (KWT),0.8995 (QAT),0.9235 (BHR),0.9333 (BHR),0.9111 (BHR),0.9128 (QAT),0.8771 (QAT),0.8886 (QAT),0.8788 (QAT),0.9078 (BHR),0.9211 (BHR),0.8963 (QAT),0.9197 (BHR),0.8886 (QAT)
ARE,United Arab Emirates,2,0.8309 (OMN),0.8227 (QAT),0.8640 (KWT),0.8808 (KWT),0.8356 (QAT),0.9003 (QAT),0.9018 (BHR),0.8755 (BHR),0.8822 (BHR),0.8190 (KOR),0.8285 (SGP),0.8157 (MYS),0.8952 (OMN),0.8592 (SGP),0.8551 (OMN)
ARE,United Arab Emirates,3,0.8101 (KWT),0.7634 (SAU),0.8295 (BHR),0.8189 (QAT),0.8295 (KWT),0.8448 (KWT),0.8601 (KWT),0.8412 (KWT),0.8200 (CZE),0.8188 (OMN),0.8230 (OMN),0.7886 (NOR),0.8706 (KWT),0.8072 (IRL),0.8182 (SAU)
ARG,Argentina,1,0.7670 (BRA),0.8119 (RUS),0.7965 (BRA),0.7818 (BRA),0.6611 (UKR),0.6832 (URY),0.6731 (BRA),0.7375 (BRA),0.8642 (IRN),0.8470 (IRN),0.7952 (CHL),0.8229 (TUR),0.8168 (TUR),0.7038 (TUR),0.8384 (TUR)
