,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLE,SLV,SRB,STP,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TLS,TON,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VNM,ZAF,ZMB,ZWE
AGO,0.0,8.107256390799053,9.543424178511257,6.648842371842104,7.7834053739585825,8.211768575051066,8.46161712610785,6.331552082232063,9.002166682251618,5.688011928085899,4.889470871517323,6.3741144537689784,8.6889164787064,10.115710484684636,8.672428901860913,8.13963359946333,7.844749276324143,7.103272620177412,5.1192184828053815,6.893911861732697,9.253902801868131,7.048719867911819,5.6962742235367685,6.540746355774318,8.31007003290708,8.67361026521045,6.843992325059535,7.537186734908384,4.694550425057779,3.8135617033803793,3.660500249148377,3.747308884502327,5.750966836825091,6.264502167047571,7.8685157652806454,7.173511513917378,9.243821131037455,8.549153409817139,8.735012406426705,7.487059322428769,8.797091181870565,6.230175134293827,4.627670242221296,5.879212991988616,5.438972801475566,8.22953391436246,8.758201577899012,5.442253918382269,8.560143723373796,6.943805837154697,8.473951690896904,4.130981122208421,8.734008053593035,7.62260243514242,4.538770118154127,4.077768714725132,4.91533254129548,5.462933652436265,5.805828147880554,8.757364458683796,5.605536160584261,4.594516782884462,8.769731815457595,3.961139094786952,8.49402585410923,5.865023134391988,5.771540979252855,8.348857082491733,5.876467845939922,5.9825494897832145,8.731452822273663,8.123513110749407,8.4339379853586,9.32077437573021,6.6061471842201795,5.3333495566630855,5.490017030326615,7.102819744430118,9.011061638187767,8.122635020418418,9.867792973925892,6.633775493117412,6.484697712159123,5.221322252450759,8.678057606002065,10.563422248826411,8.608072305166512,5.775996386544821,8.505043965876645,4.62434325715683,8.41082362928957,6.179620989464935,8.153678643749537,4.656364420291108,9.370352964684313,8.417753369511058,5.707783641219483,4.268758306571778,2.7953370845398,8.38110057867029,5.202264183373258,7.066147050380665,3.9441564787392247,7.627365785676963,4.84900668350727,8.995441614482234,8.746431190985536,6.0570133994373885,7.923561403411413,8.67829240684411,4.814384693790064,6.273608787230667,5.479424020721573,5.985750210343358,8.489997762672237,8.305621850171374,4.8387070542263295,5.482738839019846,10.80232016924712,8.021949655550815,7.801549829715839,5.6381196650540675,8.507298161070217,4.197494775458686,9.891980328185502,6.362808282047185,5.152013931466004,6.446607636190315,8.016167817204119,7.411464253095351,8.325180972407399,8.384808150230972,8.357824086791606,5.624237306088796,3.923683131598533,6.6683271532987085,5.133498976645718,7.565143595161773,5.486580389705558,9.750935369783141,8.11204470398331,5.895953510724984,5.888921685376703,4.935098835164512,4.661074388179577,7.756458726658762,7.58642384143239,9.322843805059877,5.799711455209159,7.038580446535309,5.627469169602535,3.2760069036408734,6.308771178575481
ALB,8.107256390799053,0.0,6.434102436670727,5.212221097383089,2.2805273483261455,5.684388020939634,4.6597591812550565,4.276516597505952,5.513365217967846,8.039336764232582,7.791946496480905,5.693031678612128,3.5348302800380416,5.910265761609469,5.506703285717966,2.393014601916424,3.633110992613356,4.428083812354159,4.714302294798617,4.9898826697627605,6.5926919195694245,4.207240884842052,5.785165048107668,9.577819379410924,5.689301901840389,5.589404270331372,4.539580140716417,5.4691021087474665,7.191725922124684,7.016545152906842,8.629539099326388,6.849217407664342,4.487673887375105,6.980199704559962,4.686851997325838,3.941326716604478,5.199753662311727,4.841180579277763,5.370010819155907,7.340021239466228,4.984994574565151,4.035269956922831,5.012055391141707,4.456311340558853,5.1255454288785165,4.668189144526468,4.54963313995727,8.441947630916793,4.293930400849733,3.863945093664529,5.024989654562431,5.960858018027327,5.574894651398952,2.802591575692028,6.293283890866403,7.600174260943853,6.771934530373776,7.422012005843295,8.666937754225856,4.17219225700767,5.143972171646194,4.8693181986625715,3.182700018089344,6.411648761348189,3.9654029320452553,5.048144535991361,5.692606691125712,5.585374137873624,5.029022936126161,6.108798274418627,6.248097638876525,6.066816298072819,4.289734150025401,5.999121531758336,5.1862598031553615,6.24667369760456,4.774726096299959,7.643400743529506,4.9914042085529,7.4068898973035155,5.415090262379843,8.035986395147086,4.400517291830869,7.397476950097796,3.638009891706254,7.82529139764688,3.592568820601378,3.8757679275958847,3.311035817279382,7.692602231481607,6.287639415043992,4.871198479639191,2.3106583823059843,8.535033394953645,8.015170595647696,3.5133505004346817,4.814574602912872,8.256750685171015,7.033677126758545,3.805227422609204,7.652504875553127,4.717105200015243,6.9323453221144655,10.032722192381826,4.633073885396276,5.914540400119433,5.113238314418212,5.111890874883172,4.795790149623103,5.814249448020359,6.75728654603406,4.55618869476479,4.742524414248169,5.120999325275753,4.174457131844646,3.7499310553231844,4.28478882246618,5.620518001148511,8.938946757892781,3.324126520756233,4.580044709028262,8.406774953402678,5.188502812115712,7.036278906841308,6.833340975007876,8.134288966327546,7.800677467824622,3.566482561677408,2.714687420593183,7.0340114114739976,4.205676072456629,4.46929236579457,5.186438583650906,5.63440578594131,6.9238640384007795,9.845166124894357,7.040852205262061,4.952007328563915,5.348952084531129,8.591807393148947,4.796989816540989,3.787297640326859,4.719477933199801,8.084944523708357,8.347561901573846,2.976719435721233,3.769692083134879,6.549640386384489,4.638922261639114,5.272552864137135,5.964551821843801,7.627971734137896,10.025566800120044
ARE,9.543424178511257,6.434102436670727,0.0,7.068390798461683,6.1732808405190855,4.522649840489385,3.671318846164951,4.715960439926838,4.22601001269646,9.802304937266285,10.054843085325338,8.419721560095732,5.33157699002138,3.769668522692732,6.087608398540724,5.858597075039399,4.606497241283306,6.723487918277247,5.96009465061736,6.819460263928999,4.077405993736338,6.513893874438477,6.811551635520585,12.270364777304327,4.098552253720274,3.545967432201254,4.530789894834378,6.200735986734719,9.00260619265078,8.782575136557032,10.00422434411463,8.03277401318099,6.131733760504578,10.149597718234817,7.256295864139723,5.688737712985229,5.272279673072445,3.729805760504013,4.044047248573306,8.683392196011738,4.211602373640982,5.665054256982728,6.307568952999606,5.418440256310765,7.29035161246868,5.097128452283939,4.3243312136950465,11.020961613698898,4.263537097071933,6.416825432298446,5.2909688999813005,6.855203726967066,4.806089318012077,5.8523641243916265,8.382773280701402,10.06267425102166,9.314294122534973,10.069123970425194,7.510730708034547,5.688847276435582,7.042343226716535,6.688911371043274,5.244119364030795,9.472876704871837,4.61970444035039,6.779841263761505,8.137963498847189,3.6844226756401164,6.5148823682908645,5.975927452718776,5.233468663591103,5.105055789851947,5.131023527000275,4.900288767305243,5.011217713561661,9.214921716215947,6.838295598415435,8.428163926140343,3.1151825369125596,3.9699821573109513,7.729074411318159,7.595861183193808,6.813849855442455,9.063368984810051,4.535975395537547,5.609748621802928,5.177365830756231,6.084865229769056,6.553791406959681,9.917001251311062,6.3665443116835805,4.887744438109662,5.453095867699013,10.54060189425645,6.312093274202608,5.82077863472726,5.946688747037666,10.24446233955187,8.879851174712087,5.486082111336592,10.396632280599489,3.537944327931905,8.151357042708241,11.325060201413747,6.890869452291684,4.533917492511173,3.5360967011645723,8.751087478133144,4.754362029725225,3.138890345626869,9.43278946412039,4.7567539280587,5.52268705744562,6.415897162362462,4.237024937668645,4.880799198188743,5.837842583866571,7.4325496369751605,3.808642341472862,5.3181492419189125,4.763171026654934,10.755834185209746,3.9646581250436967,8.553567825734817,3.5974167823291903,9.659480920694163,10.60128727834369,5.763240131735597,5.0783570079588385,9.601591235440399,4.165458881822845,3.9548228222574284,4.611326674926388,8.493428843306086,9.299820679051406,11.20474593229656,9.164934084199723,4.8330761891409155,8.191734221931876,10.973466201131927,8.141104730187283,6.277220645275155,5.904331143368931,9.958728017607767,10.166843121131063,5.7865562165868045,6.200032317707881,5.847246944669653,6.949972288960768,6.095723455344408,6.853535132507497,8.775793671762834,12.673007278534925
ARG,6.648842371842104,5.212221097383089,7.068390798461683,0.0,5.375813167533825,3.7544127229532585,4.632204463420743,5.333729280835658,5.177205771214448,8.582275180903343,8.38532274386904,6.5461512736589365,5.036350406960777,6.623081637966534,4.983148324955378,4.961919480937199,4.262582957143618,6.029510702086499,4.5489792856810345,2.9862931357943236,7.987308138086439,5.967348883174903,5.739863429515205,10.160025759064304,4.157688044440509,5.345994685016705,3.0349649122284683,4.950244477393922,7.112250020074811,6.714106331399485,8.07150605307244,7.406322570169912,3.084926855976004,7.6336495642708915,6.304346858993498,3.865582497719336,5.881855706675314,5.02449897048412,4.321757140119612,8.175339267471731,4.744348536792613,3.9373826195078,4.09766008582435,4.051841765960068,4.715763926576757,3.9128693541522095,5.160955729724049,8.49358520842873,4.338415368563705,5.626726691429344,4.145261687874187,5.785719655360148,4.174033482048964,4.860986240257688,6.679209246592352,8.009395640123195,7.1130735023777225,7.958543494031292,8.476398967385403,4.663856851667723,5.102346540530284,5.189343683561061,4.963320747957106,6.035855339615849,5.03519466415994,5.226010581364093,5.777555684708113,6.062414505841551,2.1729417757044835,6.701355295689178,5.1672300050495865,4.481805473052745,4.009060910977744,4.467795757625051,4.415735974970997,6.39132560156696,5.09633277910281,8.68011437299571,4.910824995919707,6.225888692319676,5.579184673239144,6.160479967840082,5.124686344059549,7.561789531403666,5.207927631732097,7.663406092619415,4.702168505546448,4.379928731100635,5.745873406314383,7.794838956642022,7.159824287353522,3.61455196082691,5.335203029627171,8.825122219940033,7.233567298152641,5.201992454614506,5.253884531299524,8.344351241312895,7.068028279783601,5.923402194783029,7.801923649215105,4.973905689579174,6.4883254230440635,11.056866915539732,4.783393622575674,5.173109748769411,4.831500475282033,5.988115476157473,3.701957546938102,6.5174871961499825,6.199645915645327,4.667093295662289,3.7899089354856423,5.526179928044278,4.736659025777027,4.44728777188974,4.18160981327042,4.587971585696561,9.269569996527217,4.387159225065883,3.6561443397976348,8.746254643632977,5.34050090604065,6.962637757468334,6.886546070357572,8.556334411362164,8.080884676485423,4.630971970678704,4.723044431449521,6.997207579725108,5.250087035704275,5.392649312991348,4.356515333433235,7.113470384968704,5.494112056682408,10.759045038146326,7.650356182998818,5.42127530103324,6.5070328704894855,10.145423469913306,6.722846485753941,3.843458226869724,2.4441942273418817,8.16595965441889,8.324157320158251,3.8683966837886126,3.143127536347213,4.680950582755733,4.62560312703113,6.647213350334632,4.3252069019192625,6.818451946356603,8.18376883121534
ARM,7.7834053739585825,2.2805273483261455,6.1732808405190855,5.375813167533825,0.0,5.3404982741251175,4.417608827121467,4.227986894935702,4.964870952547545,7.811441102464045,7.594028570781354,5.557648727214899,3.3962182837796515,5.923312196179696,5.146571490815583,2.4068115941807693,3.7699193273693603,3.945743877760281,4.6112356448871035,4.8783596946373695,6.335364257959285,4.261273310145288,4.953011130705959,9.42434795862337,5.229091043680997,5.098032797465832,4.292641983530849,5.27036085870704,6.806626427452208,6.763202226304549,8.383301976310438,6.401552068825478,4.098975377075948,7.150025334877967,3.8854481378303127,3.437393566352045,4.382971835665082,4.58574611109046,5.233248784989245,6.2631179639432455,4.669338341155601,3.4301555743556444,4.7983775740236805,4.540423433236676,4.727817563595001,4.2803915821348495,4.079243359080185,8.357784677858566,4.206884330262021,4.1490765923779716,4.698506484673915,5.186163273413339,5.324947205620543,1.711324769621144,5.934620033467727,7.426178032008423,6.38903075243631,7.357194119519331,8.482991122983076,3.7690065581195396,5.025212416684387,4.493288214918852,3.2166560500785235,6.457077246907187,3.588884776044798,5.013119813071566,5.708734054226976,4.858010345114071,5.159327429096874,5.436054224274498,5.9452027015869495,5.50946267284093,4.324257359900192,6.135174537361332,4.586169879334819,6.110818855983987,4.309530323760203,7.507861300951113,4.930408655766239,7.020058792590513,6.017283081531536,8.193922969216953,4.791991189453972,7.050744247973713,3.037444439774785,7.076625427549743,3.6015524699959824,3.6903677037912876,3.863858487502272,7.5348771595971815,5.590676525767884,4.786843210350162,1.6905347867243636,8.407147084916398,7.167510216236465,2.824896046152509,4.142139711599271,8.120917020458702,6.64197401619201,3.5142197330614304,7.464949474718899,4.187324656767168,6.461404723947044,10.075196579478039,4.972374029726158,5.437733040629587,5.038845076152255,4.860831823427494,4.541827701542395,5.991224841277468,6.789697314943306,3.8899147651257535,4.585133651553792,4.658978540212174,3.929884512826164,3.61540855337911,4.274922144896793,4.935170660717262,8.914965762377268,3.3462426825463507,4.5581564369582654,7.818283719604638,5.216196082644413,6.7701706596131155,6.322735316190512,8.205850627536572,7.725502326237877,3.5067219512558854,2.253525651073862,6.650733145284596,3.8606529826318563,4.1018873651531935,4.714320925863889,4.867723168198914,6.7900063950444025,9.820563319791933,6.878176204174401,5.080526558388028,5.029101217063476,7.608673709617617,5.551824572724753,3.306941839719503,4.32396170536891,8.040788583498461,8.079251202174834,2.9271849413665247,3.8091133976635714,6.286997059041144,4.333513504021991,5.00273055798023,5.283120221215516,7.2107683290481335,10.321371682858949
AUS,8.211768575051066,5.684388020939634,4.522649840489385,3.7544127229532585,5.3404982741251175,0.0,2.487358018686984,5.158929731171024,3.028342020553419,9.127841779118445,9.156845535786212,7.363010981917767,4.408640499903525,4.907846257622512,4.5296751184022686,4.6903105840259744,3.8716956057424654,5.621191362402688,4.749223828437162,3.8192876139414733,6.055420895529471,5.859637192948353,5.563761166886663,11.606818129837453,1.0430690783943026,3.275441243220104,2.2155868921841546,4.429155074043474,7.836241255754696,7.617443044946699,9.042877911606144,7.997281489058026,3.6308879203846134,8.697093327184037,5.95364420214586,3.4849922235301496,4.089163870264338,3.1918349266452215,2.193162657509568,8.154323096720239,2.7124588482106833,4.156978655659598,4.595305775614092,3.878512800384893,5.778243749506809,2.4793876895009075,3.3610084779861755,9.688253379342525,2.378483243392198,5.720027236694653,2.539795225729274,6.3592314874881835,2.217634761075311,4.706500632837293,7.689471745762199,9.203991036589692,8.114396919890691,8.831509956570759,8.097073287431417,3.5605181670044472,5.533012964677614,5.640010263501606,4.023963842141321,7.999781028133403,3.8985996492886015,5.828220855983731,6.712461167169869,4.394008537115807,4.030335382888984,6.058653944238525,3.2259344823315637,2.1369712831210417,2.8634207737644135,2.5064458270167944,3.6896482475199224,7.485988633912882,5.561767852329652,8.791681111432952,2.592470676624018,4.142186978050555,6.078117303570616,6.418502642548268,5.6775835195302795,8.244603563422643,3.9709583766616214,5.532160448445209,3.9753514600833846,4.711658601633204,5.827896051287318,8.763009756148584,5.64736736919538,3.741144339277584,4.955486007035817,9.720689673649098,5.623517606495112,4.437509898733199,5.357519652854358,9.334313530674933,7.981360981136642,5.078908369866911,8.752737357445548,3.66974328198967,6.943285476599182,11.201650722957472,5.798120173203014,3.007846200486578,2.197556093662966,7.2318559038930665,1.7445768890462432,4.5754741521123234,7.637591488818603,3.847703129254576,3.955346266355146,5.511992275290657,3.2712955858651105,3.2021509771263283,4.875759313052006,5.299578162762079,6.650842757101917,3.9484879989519786,2.773790559407957,9.363881845717728,3.6214645942806816,7.518799177255276,4.872184071627488,8.740502035097267,9.442287981329942,4.71264459634301,4.063870294760655,7.604882097845952,3.9622040950988398,3.677549999286841,2.333295618933099,7.627386022095298,7.141431373474744,11.229004680404438,8.285797520489487,4.549530215348889,7.299512966233108,9.850556918487166,7.153690408980881,4.49286296364575,3.364564321745637,9.07025287562878,9.150286752474226,4.087642859011757,3.6223528502898863,2.9630872087147035,5.408205430822681,6.403871228653082,4.712451815043253,7.650255175083035,10.919382570893596
AUT,8.46161712610785,4.6597591812550565,3.671318846164951,4.632204463420743,4.417608827121467,2.487358018686984,0.0,4.530511494047485,1.6959484695017908,8.998594629294757,8.897690052622211,7.253390587544587,2.9790636965814334,3.8596329887454366,4.134924354554078,3.469763813384327,2.7346179260046704,4.686242759038199,4.744257121765972,4.587406330113929,5.3077002873792045,5.049624054021107,5.174309594117887,11.385908361178556,2.097455250118185,2.2883251481955176,2.753412395478272,4.940176827250627,7.895317118984374,7.736882479094529,9.06741819873338,7.675750752974662,4.207553083771169,8.535928921129454,5.12767528446906,3.15523809818183,2.8988197691417112,1.6563491655993732,1.777947148299849,7.216089947433444,1.4563913656487097,4.092624029693222,5.057016309122623,3.9498558830368746,5.9189773100697405,2.5331442377985067,1.7432980264944324,9.821696487238436,1.2117503621119943,4.675709960502902,2.414200238487765,6.35107798852867,2.2310551044915323,3.574566206355733,7.443488617519033,8.935892109533267,8.038385742802845,8.673048877089602,7.89959722332243,3.0543560803809813,5.464648471742917,5.183753372844554,2.3592803179188677,7.996637489358884,2.1863394743840234,5.9440127218774865,6.786099721964905,2.842616473224461,4.712448253131382,5.961051313073824,3.4201091970190993,2.9251259036111374,2.447351021905117,3.2896011016139513,3.918681808204624,7.515287364848324,5.0398446056508615,8.289721738005587,2.238193332597611,4.40198368710286,5.609074037711221,6.6043657295366325,5.110427284059272,7.614474671295677,2.149090987455799,4.594510417062896,2.3626040490271487,4.412316901778053,4.582635976500361,8.609610482685524,4.944262169384905,3.6454637799998832,3.5927006667323838,9.657756129533281,5.169644657378558,3.2190876839803333,5.022124995880585,9.06738461547562,7.8419358881528,3.50110737353597,8.660038048832513,3.2159347111432663,6.780312810377306,11.077483282659115,5.288768416087871,2.2800913848947073,1.6623652034308765,7.135292961869132,2.3990991508715855,3.9804465266471296,7.885944553302198,3.306899049959824,4.256697922288221,5.211961258759652,1.9849013959138186,1.8757920335048794,4.599849579887644,5.489245382897335,6.497038736398165,2.737598988977025,3.027704545285319,9.356155884032122,3.5955067448801334,7.488526046011396,3.5932699673691673,8.42341125934911,9.440637638585404,3.935274512536024,2.7795525243020647,7.436013165276713,1.8200852692711371,1.686974305516633,1.7174864603468292,6.902725586176432,7.706342835158882,11.075161856187682,8.067316083535982,3.7916761607328837,6.992395517771634,9.363167975300819,6.123143337295631,4.0572729931025675,3.9326532369758076,9.18226105139913,9.251101073142104,3.3675050532688795,3.5966324697091556,4.155585032508064,5.388667342783775,5.5613732738652715,5.072609314053458,7.5047571331538165,11.09530335521169
AZE,6.331552082232063,4.276516597505952,4.715960439926838,5.333729280835658,4.227986894935702,5.158929731171024,4.530511494047485,0.0,5.6822830584489585,7.02760130049083,6.908697619313613,5.160208947153263,5.020777780887718,5.560211203261321,6.169483931005479,4.524046459303859,3.681219484442421,5.406533649949199,3.459572786245069,5.391945447290543,4.872691165750333,3.752921125997598,5.285209455459996,8.8935987413433,5.064924164730112,4.940150933396643,3.815298561524539,4.5816263394382455,6.040916592968458,5.703329553822966,7.013352257632375,5.165252493050749,4.013911645323663,7.379517397129525,6.1706323524177416,4.756008652008605,6.04613323859164,4.375376173815927,5.032805936890866,7.701039223645918,5.281948990828164,3.5611384437513482,3.7242507482832514,3.606396060426393,3.877365205241442,5.309280493261085,4.879709531875264,7.372480692870842,4.736863584238621,4.715756087718616,5.701571589048771,3.9638951137573035,5.618943886621704,4.317019692281897,4.968707675750689,6.437925078746833,6.366122921787237,7.075998169421607,6.333545448818885,5.894014939225248,4.633298327743678,4.108700917195363,4.874155729543674,6.185409614224212,4.439403826252527,3.4560841578761528,5.140271233143014,4.38130547471154,4.3109413583893135,4.028077447438544,6.0365815077069955,5.700483783600643,5.270343199273651,5.89713780533535,3.3479117345040685,6.209074457304232,3.786303442560035,5.5996761580730245,4.416830233326626,5.090668983405652,7.713484160897603,7.044195372631418,4.1877225070367015,6.567345169957031,4.519760471527275,7.816356493423717,5.0405988983098755,3.59225284023442,4.659184235263245,6.7519963232382745,6.152329062334321,3.4810667521840934,4.247650760176271,7.1317627446720975,7.434008471489969,5.271628046796279,3.326576227183761,7.112671780192363,5.72550874418291,4.9828587576954835,7.293397519445605,2.7312671294173785,5.879872813217754,8.728018929164563,4.375963179649214,5.8797164312655745,4.716541918521493,5.925082685568423,4.811039229016971,4.311449177095183,6.232977940328276,3.7727444179730525,3.3959443808329204,4.024619351150098,4.123290814308314,4.842468253933009,2.6294452518470384,5.551487676518633,6.690915854351221,4.1795031468710455,4.052925655242171,7.546335637983408,4.343685348781201,5.641037206809495,6.288712796970946,7.235902755136312,7.1721708075480475,3.923102577846235,3.988224188102816,8.22596341242002,4.246107600592893,4.209203122888924,5.247894260011954,5.449466215480079,6.396616327568594,8.165777104214044,6.248723964518858,3.713743076859695,4.368060961136316,8.761645873771876,6.210597751090954,4.27323396264734,4.190294540445409,6.52734832127323,6.788910569450148,4.335234878388284,5.226077286233549,6.498062940523286,3.4115417858931028,3.3501463082154896,5.37168689884416,5.982009450778511,9.131635471668677
BEL,9.002166682251618,5.513365217967846,4.22601001269646,5.177205771214448,4.964870952547545,3.028342020553419,1.6959484695017908,5.6822830584489585,0.0,9.452653517539725,9.481891089393276,8.20975113268531,3.2745959975112493,4.218532790282242,4.136592122244473,4.1734538079528125,3.540654893563961,5.017019118970471,5.565468769082821,4.971196613361814,6.057370918892123,5.992052018952431,5.450051087854433,11.88950234602612,2.4973871227419244,2.627568161747036,3.4872934645035625,5.784108705201137,8.432568808756303,8.322452350111474,9.585246998936764,8.29880285896356,4.9065358799953955,9.03856618045178,5.058596505330934,3.4906262374149013,2.5662985576017885,2.4434330472377255,2.3623773728838606,6.774457233102752,1.2548920688095995,4.793464103161906,5.762117547682069,4.84684445402357,6.8784857157463115,2.7966828042485896,2.1440277814509057,10.590919276299227,2.192981409744536,5.099677189397952,2.4031710226251928,6.944567596775527,2.3534188235216194,4.010960929893231,8.110008409203727,9.54041655284344,8.4710337137985,9.151628013275438,8.397037058333861,2.9224170033964496,6.168478695844952,5.740844628252027,3.0034407120899416,8.615276564193092,2.6195903207220916,6.957468434932074,7.577118102566458,3.3532848820290284,5.463559514381481,6.6275744155653395,3.448644633030609,2.921383941845691,3.0872630170669364,3.906589498998711,4.8220492876000165,8.173678473908232,5.781623353500521,9.076270151834677,3.2296729409880105,4.856429273618064,5.507960576546183,6.9058298772829785,6.301742603895684,7.923752342876971,2.6730256811930695,3.571092188715735,2.7313212331442904,5.005286122316588,5.389142845778048,9.169578339385293,5.0666003025915805,4.358155732782631,4.128629732460589,10.280889566719791,4.5476581480361435,3.449470853637647,5.684231265746395,9.51373479916787,8.336846020295056,3.984623080709122,9.216832758794384,3.999102795649766,7.164762254303396,11.727906197993732,5.9448956239011235,1.2188723287704901,2.628403532724026,7.560889161378868,2.953367273378371,4.795332278071,8.559309210767985,4.018615126481293,5.050391718093426,5.899064409297442,2.985598265063933,2.5622554439902028,5.482595152172031,5.564509786692514,7.05167319982918,3.696107923972682,3.981348266954922,9.853280299034713,4.440173400889503,8.017053388024081,3.1538622814772945,8.932243719730746,10.063737792219852,4.555875556084182,3.495698153560747,7.33218005124505,2.5656560840196247,2.6518718149169724,1.7207548503884154,7.519124363837505,8.127834149977865,11.803320368814886,8.616120410671027,4.637887260048516,7.922794694585727,9.681685092375117,6.805339791692935,4.381149130096969,4.386713316779715,10.002931273498765,9.977605418258813,3.908227861904941,3.8913499404737357,4.5113718802804295,6.267778939942407,6.387673312906254,5.3817310601657775,8.050381089038538,11.857324244713212
BEN,5.688011928085899,8.039336764232582,9.802304937266285,8.582275180903343,7.811441102464045,9.127841779118445,8.998594629294757,7.02760130049083,9.452653517539725,0.0,3.167734717491337,5.343255219992535,8.442000733265717,10.171067617031744,9.011903853776507,8.482107495471482,8.494214672731207,6.358333117208258,5.228065197355903,7.747097869433023,9.814726455566808,6.27174073513139,7.11757159533408,4.814441306612937,9.185431704255413,9.188347163911263,7.9875843015690915,7.758096101637454,2.04869299416735,2.615956217710609,4.159308154836714,5.7586794294724015,6.7651830073783215,3.7767208769102463,6.985708810184736,7.595018222434519,8.998818082432631,8.802986160903622,9.358651815040602,7.309585859503071,9.289644107152121,6.390108875463119,6.268985106359311,6.0788955692009115,6.2059995889095525,9.115184190550131,8.988673623431517,3.6575398658764993,9.249020764260722,6.306783161162826,9.009013057582125,6.507109709120897,9.11572245285321,7.623763281979094,3.460262060642706,3.28131885308265,2.682431521753846,2.4524069508055977,7.421300926235432,9.070942141957811,4.330744042906394,4.648064886573537,8.734751403105562,5.067831108677893,8.474138674993176,5.736418007989531,5.38947427073285,9.05963153061692,8.076526950954364,6.898776078466939,9.376745465146614,8.575889883398611,9.101375053469884,9.87014903619174,7.312438270816404,3.8449301759522325,5.799981547673705,4.988648851783498,9.499805649974963,9.281820293328037,10.193880557995934,9.817888578993319,6.662279572360895,6.572382768125826,8.826679324821328,10.73055191041714,8.891437720512242,6.08907523856912,7.377852099947787,2.573273376302327,7.254563907901624,6.963063338073711,8.440734607344007,2.418479186178698,9.504569568962712,8.633807829841217,6.802212111777036,3.6508553643861816,3.91573439949748,7.689441656766642,3.75126255494771,7.359594917837649,5.880917780391241,3.797975681052082,5.6307694958414105,9.275556765200522,9.35094580921154,4.670336807400703,8.349638039780372,9.042495329934384,4.0346676267829,6.687074566569764,5.937486629129239,4.916163735672893,8.629692001506148,8.368322322966176,5.982580339693018,7.066568488809955,10.646312041287084,8.084256877147576,8.513000288553792,4.505215067879179,9.334673230212008,2.505144800027098,10.218412400256643,4.424719266740255,2.5564466725913184,6.011590888661309,8.303696579222278,6.410929949926188,8.842589796946779,8.787010884246278,9.201074200337056,6.321466404327549,5.388452500899495,3.486815819292077,1.6676874235383767,6.997555280793725,5.285011582243463,7.785109286410911,7.151476929978893,7.0082654617167375,7.670712006013962,3.0654982334904535,3.081448571645162,8.088341314833475,8.108885961620578,9.542495383627855,6.33363203341009,6.167149031748343,7.589539011153385,4.548387245924523,8.940654584229039
