country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AGO,Angola,1,2.3727 (MRT),2.7709 (MRT),2.6967 (COG),2.8714 (MRT),2.7222 (ZMB),2.8780 (MRT),2.6869 (MRT),3.2895 (COG),2.7767 (COG),2.7953 (MRT),2.2581 (MRT),2.1410 (COG),2.7413 (COG),2.4953 (MRT),2.4687 (MRT)
AGO,Angola,2,3.1099 (COG),3.0471 (COG),3.0462 (ZMB),3.2857 (GIN),3.1248 (GIN),3.0965 (ZMB),3.2579 (ZMB),3.3485 (ZMB),3.8403 (GAB),3.2760 (ZMB),3.0135 (ZMB),2.2944 (MRT),2.9375 (CMR),2.9018 (CMR),2.9899 (CMR)
AGO,Angola,3,3.3484 (IRQ),3.2347 (IRQ),3.0958 (MRT),3.2888 (COG),3.2774 (COD),3.2062 (SEN),3.5958 (GHA),3.4033 (COD),3.8991 (ZMB),3.6605 (COD),3.1203 (COD),3.1117 (COD),3.2227 (ZMB),3.2232 (COG),3.2889 (ZMB)
ALB,Albania,1,2.0886 (ARM),2.0269 (ARM),2.1241 (ARM),1.4719 (ARM),1.2362 (ARM),1.3969 (ARM),2.1656 (ARM),1.6936 (ARM),1.7648 (ARM),2.2805 (ARM),2.2158 (ARM),2.0870 (ARM),2.3771 (BIH),2.2691 (ARM),2.5079 (BIH)
ALB,Albania,2,2.7932 (TUN),2.7578 (PRY),2.4032 (GEO),2.4795 (MKD),2.1931 (MKD),2.4192 (MKD),2.5387 (MKD),2.5230 (MKD),2.5432 (BIH),2.3107 (MKD),2.3789 (BIH),2.3619 (BIH),2.3853 (ARM),2.6485 (MKD),2.5284 (MKD)
ALB,Albania,3,2.8472 (MKD),2.7990 (MKD),2.6627 (MKD),2.6181 (GEO),2.6767 (GEO),2.6851 (SRB),2.6691 (SRB),2.6156 (BIH),2.5653 (MKD),2.3930 (BIH),2.3898 (MKD),2.4447 (GEO),2.5460 (MKD),2.6717 (BIH),2.8562 (SRB)
ARE,United Arab Emirates,1,2.8839 (OMN),3.1180 (KWT),3.1288 (BHR),2.1343 (BHR),2.0849 (BHR),2.5663 (BHR),2.6621 (BHR),2.9682 (BHR),2.4517 (BHR),3.1152 (KOR),2.3531 (BHR),1.9712 (BHR),2.5001 (OMN),2.1084 (BHR),3.0008 (OMN)
ARE,United Arab Emirates,2,3.0670 (BHR),3.5096 (SAU),3.1375 (KWT),2.7545 (KWT),3.2348 (OMN),3.3713 (OMN),3.2463 (KWT),3.1444 (QAT),2.8584 (CZE),3.1389 (OMN),3.1682 (OMN),2.9424 (MYS),2.9027 (KWT),3.1024 (IRL),3.3547 (SAU)
ARE,United Arab Emirates,3,3.7062 (MYS),3.6623 (MYS),3.2433 (QAT),3.6163 (MYS),3.5333 (KWT),3.5334 (KWT),3.2743 (QAT),3.1784 (OMN),2.9729 (OMN),3.5361 (NOR),3.2456 (CZE),2.9768 (NOR),3.3252 (QAT),3.1964 (CZE),3.6980 (CAN)
ARG,Argentina,1,2.5028 (BRA),2.2716 (RUS),2.3615 (BRA),2.5153 (BRA),4.2371 (UKR),3.4160 (URY),4.1232 (BRA),2.6006 (IRN),2.5234 (IRN),2.1729 (IRN),2.0582 (CHL),2.0891 (TUR),2.3438 (TUR),2.9378 (TUR),2.4957 (TUR)
ARG,Argentina,2,2.5422 (CHL),2.4983 (BRA),2.5739 (IRN),2.7905 (URY),4.2647 (BRA),3.6691 (BRA),4.4068 (TUR),2.6220 (COL),3.2186 (TUR),2.4442 (TUR),2.2181 (BRA),2.4038 (IRN),2.4942 (IRN),3.0140 (COL),3.1998 (IRN)
ARG,Argentina,3,2.6637 (URY),2.5104 (URY),2.6876 (RUS),2.9650 (IRN),4.4150 (RUS),3.7675 (CHL),4.5450 (URY),2.6568 (TUR),3.6882 (URY),2.9863 (BRA),2.2189 (COL),2.4577 (BRA),2.6513 (COL),3.0496 (CHL),3.4593 (COL)
ARM,Armenia,1,2.0886 (ALB),2.0269 (ALB),2.1241 (ALB),1.4719 (ALB),1.2362 (ALB),1.3969 (ALB),1.8095 (MKD),1.6936 (ALB),1.5936 (GEO),1.6905 (MKD),1.4330 (GEO),1.6437 (GEO),1.0164 (GEO),1.1950 (GEO),1.7420 (GEO)
ARM,Armenia,2,2.6627 (SRB),2.3593 (GEO),2.5697 (GEO),2.2045 (MKD),1.9353 (MKD),1.7795 (MKD),2.1656 (ALB),2.1126 (GEO),1.6679 (MKD),1.7113 (GEO),1.9748 (MKD),1.8506 (MKD),2.3853 (ALB),2.1684 (SRB),2.5102 (PAN)
ARM,Armenia,3,2.7168 (MKD),2.5543 (MKD),2.7269 (ROU),2.4016 (GEO),2.0769 (GEO),2.1431 (GEO),2.2022 (GEO),2.2836 (MKD),1.7648 (ALB),2.2535 (SRB),2.2158 (ALB),2.0870 (ALB),2.5608 (MKD),2.1881 (MKD),2.8333 (TUN)
AUS,Australia,1,1.4753 (CAN),1.4296 (CAN),1.2886 (CAN),1.3927 (CAN),1.2638 (CAN),1.3807 (CAN),1.3611 (CAN),1.2976 (CAN),1.1410 (CAN),1.0431 (CAN),1.3717 (CAN),1.6302 (CAN),1.2455 (CAN),1.2234 (CAN),1.5166 (CAN)
AUS,Australia,2,1.9967 (NZL),2.0877 (NZL),1.9638 (ISR),2.0154 (ISR),1.6845 (NZL),1.6815 (NZL),1.8645 (NZL),1.7340 (NZL),1.7284 (NZL),1.7446 (NZL),1.8265 (NOR),1.8542 (NZL),2.0533 (NZL),1.7563 (NZL),1.7791 (NZL)
AUS,Australia,3,2.0537 (GBR),2.1969 (GBR),2.0814 (GBR),2.0528 (GBR),1.8921 (GBR),1.8986 (GBR),2.0125 (ISR),2.2259 (NOR),2.1418 (ISR),2.1370 (ISR),1.9809 (NZL),1.9686 (DEU),2.1407 (DEU),2.3570 (ISR),2.1829 (GBR)
